Unique ID,Country,Age,Annual Family Income ($),Gender,Time spent watching videos/TV,Time spent playing indoor sports,Time spent playing outdoor sports,Total Time spent working in front of screen,Sleeping hours,IQ,Whether parents have specs,English speaker,Migrated within country,Migrated overseas,"Maritial Status (0 - Single, 1 - Married, 2 - Divorced)",Has Diabetes,Education Status,Has Gym Subscription,Has OTT subscription,Number of friends,Likes spicy food,Likes desserts,Wants to change career,Has debt,Has kids,Drinks alcohol,Smoker,Wear Specs
7319483,CAN,13,20423,Male,3,4,3,7,8,95,1,0,0,0,0,0,Studying,0,1,4,0,1,0,0,0,0,0,1
4791965,CAN,13,5570,Female,3,3,1,10,3,120,1,1,0,1,0,1,Studying,1,1,6,0,1,0,0,0,0,1,1
2991718,CAN,13,58706,Female,2,2,1,4,9,114,0,1,1,1,0,0,Studying,1,0,5,0,0,0,0,0,0,0,0
4220106,CAN,13,57118,Male,6,2,4,10,11,117,0,1,0,1,0,0,Studying,0,1,9,0,1,0,0,0,0,0,0
2263008,CAN,14,59834,Male,6,3,4,13,12,117,1,1,1,0,0,0,Studying,1,1,6,1,0,0,0,0,0,0,0
9450813,CAN,14,42157,Female,1,2,3,16,10,125,0,1,0,0,0,0,Studying,1,0,8,1,1,0,0,0,0,1,0
3515052,CAN,14,825,Male,1,0,2,5,6,118,0,1,1,0,0,0,Studying,0,1,8,0,1,0,0,0,0,0,0
5641104,CAN,14,39935,Female,1,4,0,17,9,108,0,1,0,1,0,1,Studying,0,1,8,0,1,0,0,0,0,0,0
5559237,CAN,14,8555,Male,6,3,1,6,12,111,0,1,1,0,0,1,Studying,0,0,2,0,1,0,0,0,0,0,0
6633214,CAN,14,39552,Male,2,2,4,8,1,102,0,1,0,1,0,0,Studying,1,1,8,0,1,0,0,0,0,0,0
9421450,CAN,14,2026,Female,3,3,2,8,10,106,1,1,0,1,0,0,Dropout,0,1,8,0,1,0,0,0,0,0,1
